lat,lon,location_name,pm25,time,location_id,unit
37.8201916,-122.2743166,"West Oakland, CA",0.516783075,2017-08-27 06:00:00,61685,µg/m³
37.820585,-122.272632,"West Oakland, CA",0.292636812,2017-08-18 14:00:00,61646,µg/m³
37.821071,-122.278118,"West Oakland, CA",0.524134594,2017-08-27 06:00:00,61647,µg/m³
37.8211656,-122.2841335,"West Oakland, CA",0.476892263,2017-08-27 06:00:00,61644,µg/m³
37.8212843,-122.2828119,"West Oakland, CA",0.391292158,2017-08-16 19:00:00,61682,µg/m³
37.821532,-122.2816,"West Oakland, CA",0.561825385,2017-08-03 19:00:00,61632,µg/m³
37.82173,-122.288098,"West Oakland, CA",0.408498664,2017-08-27 06:00:00,61645,µg/m³
37.821756,-122.286061,"West Oakland, CA",0.464486906,2017-08-27 06:00:00,61629,µg/m³
37.821964,-122.282406,"West Oakland, CA",0.464886061,2017-08-23 21:00:00,61652,µg/m³
37.82204,-122.284106,"West Oakland, CA",0.636682715,2017-08-24 23:00:00,61635,µg/m³
37.822233,-122.279561,"West Oakland, CA",0.53915547,2017-08-27 06:00:00,61683,µg/m³
37.8223048,-122.2723855,"West Oakland, CA",0.249847458,2017-08-05 07:00:00,61630,µg/m³
37.822495,-122.290638,"West Oakland, CA",0.461039428,2017-08-27 06:00:00,61639,µg/m³
37.822643,-122.286179,"West Oakland, CA",0.438437622,2017-08-27 06:00:00,61671,µg/m³
37.82276,-122.285632,"West Oakland, CA",0.474175444,2017-08-27 06:00:00,61657,µg/m³
37.8227793,-122.2787749,"West Oakland, CA",0.626219396,2017-08-27 06:00:00,61641,µg/m³
37.823775,-122.283028,"West Oakland, CA",0.40568442,2017-07-08 23:00:00,61627,µg/m³
37.8248651,-122.2825408,"West Oakland, CA",0.356459284,2017-08-27 01:00:00,61642,µg/m³
37.825029,-122.285339,"West Oakland, CA",0.45588398,2017-08-27 06:00:00,61662,µg/m³
37.8250742,-122.2814565,"West Oakland, CA",0.398179807,2017-07-27 20:00:00,61687,µg/m³
37.825385,-122.285646,"West Oakland, CA",0.459588598,2017-08-23 10:00:00,61651,µg/m³
37.86476699999999,-122.30274099999998,Berkeley Aquatic Par,0.0063,2025-10-04 09:00:00,2610,µg/m³
37.93829999999999,-122.02499999999999,Concord,0.013,2025-10-05 07:00:00,1950,µg/m³
37.9478,-122.3636,Richmond - 7th St,0.0002,2025-10-04 19:00:00,8769,µg/m³
37.9604,-122.35709999999999,San Pablo - Rumrill,7.0,2025-10-05 07:00:00,2003,µg/m³
37.972199999999994,-122.51890000000002,San Rafael,2.0,2025-10-05 07:00:00,2002,µg/m³
38.00631099999999,-121.64191800000002,Bethel Island,0.015,2025-10-05 07:00:00,1520,µg/m³
38.102507,-122.237976,Vallejo,0.005,2025-10-05 07:00:00,1533,µg/m³
38.167297,-121.688561,Rio Vista,9.0,2025-10-05 07:00:00,671,µg/m³
38.211501,-122.132907,MMCA81032,0.0,2019-12-04 16:00:00,7069,µg/m³
38.219923,-122.26706,MMCA81023,8.0,2017-11-06 16:00:00,5245,µg/m³
38.220009,-122.267039,MMCA81023,8.0,2017-11-05 20:00:00,5238,µg/m³
38.227066,-122.075624,Fairfield,0.02,2025-10-05 07:00:00,1478,µg/m³
38.278849,-122.275024,Napa - Napa Valley C,0.23,2021-05-20 15:00:00,8705,µg/m³
38.279389,-122.669673,Sonoma Technology Mo,44.0,2017-10-12 17:00:00,5232,µg/m³
